Homework,Question,Part,points
1,1,a,4
1,1,b,1
1,1,c,2
1,1,d,3
1,2,a,1
1,2,b,1
1,2,c,1
1,2,d,1
1,2,e,1
1,2,f,1
1,2,g,3
1,2,h,2
1,2,i,2
1,2,j,1
1,2,k,1
1,2,l,2
1,3,a,1
1,3,b,5
1,3,c,2
1,4,a,2
1,4,b,4
1,5,a,1
1,5,b,2
1,5,c,4
1,5,d,4
1,5,e,4
2,1,a,5
2,2,a,4
2,2,b,2
2,2,c,1
2,3,a,2
2,3,b,4
2,3,c,3
2,3,d,2
2,3,e,2
2,4,a,2
2,4,b,4
2,4,c,2
2,4,d,2
2,4,e,4
2,5,a,1
2,5,b,1
2,5,c,3
2,5,d,4
3,1,a,3
3,1,a,3
3,1,b,1
3,1,c,2
3,1,d,3
3,1,e,2
3,1,f,4
3,2,a,1
3,2,b,4
3,2,c,3
3,2,d,3
3,3,a,2
3,3,b,5
3,3,c,2
3,3,d,2
4,1,a,4
4,1,b,4
4,2,a,2
4,2,b,5
4,2,c,2
4,2,d,3
4,2,e,2
4,2,f,4
4,3,a,2
4,3,b,2
4,3,c,2
4,3,d,4
4,3,e,4
4,4,a,3
4,4,b,5
5,1,a,4
5,1,b,2
5,1,c,2
5,1,d,2
5,2,a,4
5,2,b,4
5,3,a,3
5,3,b,2
5,3,c,3
5,4,a,2
5,4,b,3
5,4,c,3
5,5,a,4
5,5,b,4
5,5,c,3
6,1,a,1
6,1,b,3
6,1,c,4
6,2,a,1
6,2,b,1
6,2,c,2
6,2,d,4
6,3,a,2
6,3,b,2
6,3,c,3
6,4,a,3
6,4,b,5
6,5,a,4
6,5,b,3
6,5,c,4
7,1,a,1
7,1,b,1
7,1,c,2
7,1,d,3
7,2,a,4
7,2,b,3
7,2,c,1
7,3,a,1
7,3,b,2
7,3,c,3
7,4,a,1
7,4,b,3
8,1,a,4
8,1,b,4
8,1,c,2
8,1,d,2
8,1,e,1
